Transect,Distance 
A,0.1
A,1.47
A,1.61
A,0.22
A,0.59
A,2.73
A,1.48
A,1.89
A,1.54
A,1.22
A,0.93
A,3.02
A,1.29
A,0.38
A,3.13
A,2.03
A,5.84
A,1.15
A,7.03
A,2.16
A,0.39
A,2.74
A,0.29
A,7.05
A,2.33
A,4.67
B,0.47
B,3.47
B,4.31
B,0.16
B,3.12
B,6.72
B,2.81
B,1.84
B,8.88
B,4.92
B,1.97
B,0.16
B,1.27
B,0.52
B,2.26
B,7.24
B,1.86
B,8.82
B,4.77
B,2.46
B,0.46
B,1.7
B,1.81
B,4.69
B,0.05
B,2.42
B,1.7
B,3.16
B,3.08
C,2.05
C,0.57
C,1.04
C,2.79
C,2.63
C,2.24
C,0.98
C,4.21
C,1.44
C,2.26
C,0.22
C,0.82
C,1.88
C,0.11
C,3
C,1.8
C,1.85
C,4.25
C,0.22
C,2.41
C,1.2
C,1.67
C,3.09
C,1.5
C,3.83
C,1.73
C,1.03
C,1.07
